global_id,first_appearance,last_appearance,num_observations,avg_start_location,avg_end_location,location_drift,avg_risk_score,max_risk_score,risk_score_trend,risk_volatility,risk_acceleration
IS_0001,2020-12-03,2020-12-03,1,131948.2,131992.8,0.0,0.15203144327955556,0.15203144327955556,0.0,0.0,0.0
IS_0003,2020-12-03,2021-11-04,6,147353.2333333333,147406.1,1.1999999999825377,0.2470592477025616,0.25922921872767096,0.002778339453407504,0.00643880249153757,0.0038925186378858277
IS_0004,2020-12-03,2021-11-04,4,148615.65,148674.95,1.0,0.2192905941089815,0.2224804193051771,0.0019835691624325922,0.0028400566501645803,0.0022919296560574842
IS_0005,2020-12-03,2021-11-04,6,154408.36666666667,154444.26666666666,0.8000000000174623,0.18477309340624118,0.1899476875266351,0.0006906586345193567,0.003816790797974992,-0.0002330597618587338
IS_0006,2020-12-03,2022-12-01,3,158565.53333333333,158602.93333333332,1.7999999999883585,0.17791495666473345,0.1979819885237083,-0.014120340093511041,0.017477798294313854,-0.014120340093511083
IS_0007,2020-12-03,2022-12-01,8,166987.0,167027.84999999998,2.3999999999941792,0.20345578502237138,0.2093910616681454,-0.0010871292269522147,0.005349836564856999,-0.002204374848780424
IS_0008,2020-12-03,2020-12-03,1,188974.0,189011.6,0.0,0.177447262216948,0.177447262216948,0.0,0.0,0.0
IS_0009,2020-12-03,2022-07-14,8,191703.125,191740.65,1.8000000000174623,0.16895671109880656,0.17529400807745887,-0.001071111619738273,0.005247032488363432,-0.0015952178070210749
IS_0011,2020-12-03,2021-04-22,2,192750.2,192790.0,0.8000000000174623,0.20238511082751307,0.20631474796189536,-0.00785927426876462,0.005557346130648389,0.0
IS_0012,2020-12-03,2022-12-01,6,193149.33333333334,193203.16666666666,2.6000000000058208,0.1979996825779927,0.23891246242485248,0.013655323741258357,0.03027715471133627,0.011437652403331156
IS_0013,2020-12-03,2022-12-01,8,194567.8,194629.475,2.1999999999825377,0.18460101025739767,0.22139420991430936,0.000605243534250325,0.01803547747185115,0.002739965589387966
IS_0014,2020-12-03,2020-12-03,1,194716.8,194755.2,0.0,0.1707414327840465,0.1707414327840465,0.0,0.0,0.0
IS_0053,2020-12-03,2021-04-22,2,145863.2,145898.0,1.2000000000116415,0.198829642839712,0.20674572925232632,0.015832172825228592,0.011195036765636534,0.0
IS_0084,2020-12-03,2022-07-14,4,192580.6,192616.85000000003,1.6000000000058208,0.19848467999637098,0.2011644461726972,-0.0001404757268532161,0.0020639209618566116,-0.000655387263067205
IS_0016,2021-01-28,2022-01-27,3,147343.93333333335,147396.86666666667,1.0,0.24655551228315206,0.2506567984846399,0.0028611550646061835,0.0035777065298473157,0.00286115506460613
IS_0017,2021-01-28,2021-08-12,2,148605.8,148665.2,0.39999999999417923,0.21778074376324996,0.21843172883089246,-0.00130197013528504,0.0009206319115623838,0.0
IS_0018,2021-01-28,2022-01-27,3,154398.66666666666,154434.86666666667,0.39999999999417923,0.18745798760052365,0.19669198341190497,0.007265502929075086,0.008025735199685437,0.007265502929075074
IS_0019,2021-01-28,2022-11-03,4,166977.15,167018.1,2.2000000000116415,0.20483372329270474,0.2084475459471739,0.00018479908217478407,0.0033128039086459207,2.7212419876530374e-05
IS_0020,2021-01-28,2021-01-28,1,188964.0,189001.8,0.0,0.17628369136825697,0.17628369136825697,0.0,0.0,0.0
IS_0021,2021-01-28,2022-01-27,3,191692.80000000002,191730.2666666667,1.3999999999941792,0.16712672562976016,0.171252688264331,0.0015959489693459345,0.00466368529721188,0.001595948969345909
IS_0022,2021-01-28,2021-01-28,1,192740.2,192779.6,0.0,0.198206864264953,0.198206864264953,0.0,0.0,0.0
IS_0023,2021-01-28,2022-11-03,3,193455.53333333335,193492.6,7.600000000005821,0.20065398060551043,0.23591106635896786,0.005629758433076024,0.031048200461295312,0.005629758433076004
IS_0024,2021-01-28,2022-10-06,3,194557.8666666667,194619.4,2.2000000000116415,0.1710176228020265,0.18326598275721134,0.008628651904485477,0.010665856402824582,0.00862865190448546
IS_0025,2021-01-28,2022-11-03,3,194688.4,194744.19999999998,0.39999999999417923,0.21157690078952043,0.23648969005848636,0.0030592230274705838,0.037974911691089956,0.0030592230274705534
IS_0068,2021-01-28,2022-11-03,4,145853.65000000002,145888.95,3.0,0.20912618808219985,0.21078133591502002,0.0009264353883646632,0.0014528767653563624,0.0007465761663054497
IS_0027,2021-04-22,2021-04-22,1,0.0,193306.0,0.0,0.7670625530647838,0.7670625530647838,0.0,0.0,0.0
IS_0028,2021-04-22,2021-04-22,1,188934.4,189012.8,0.0,0.18266821250080684,0.18266821250080684,0.0,0.0,0.0
IS_0029,2021-04-22,2022-07-14,5,193465.08,193502.36000000002,1.8000000000174623,0.24834138299695732,0.3506550341778508,-0.017322329284874382,0.06205007780384098,-0.028148487746048917
IS_0030,2021-04-22,2022-12-01,8,194699.175,194754.775,2.6000000000058208,0.21865628280041705,0.24504675293871941,0.0026068481855509094,0.031137778805281718,-0.0016296933984582698
IS_0031,2021-05-20,2022-12-01,5,188914.76,189012.8,1.6000000000058208,0.18180388684947169,0.1836775500556122,-0.00017013425480988736,0.001611171667845185,-0.00043387894339353555
IS_0032,2021-05-20,2022-12-01,7,192733.08571428573,192791.17142857143,2.1999999999825377,0.19790125053497015,0.20363750357434496,0.0006023668325082903,0.00480129147253129,-0.0004186655950774859
IS_0085,2021-05-20,2021-05-20,1,145864.6,145899.6,0.0,0.2067559307823119,0.2067559307823119,0.0,0.0,0.0
